"cell_ID"	"X"	"Y"
"s498"	6589.07	505.09
"s499"	6560.97	-105.98
"s500"	6521.87	357.02
"s501"	6515.97	590.03
"s502"	6482.57	798.99
"s503"	6399.67	-153.58
"s504"	6395.27	-311.48
"s505"	6290.07	-200.78
"s506"	6285.57	547.12
"s507"	6252.67	678.91
"s508"	6241.27	787.18
"s509"	6256.27	-289.88
"s510"	6207.27	565.81
"s511"	6139.17	670.56
"s512"	7406.31	1036.95
"s513"	6847.45	1179.46
"s514"	6662.67	1207.87
"s515"	6645.07	-519.38
"s516"	6367.17	1240.76
"s517"	6132.47	1002.12
"s518"	6036.27	966.46
"s519"	6028.17	798.77
"s520"	5980.97	308.12
"s521"	5931.57	1141.04
"s522"	5921.07	981.4
"s523"	5899.27	382.42
