"Gene symbol","Cluster number"
"Mrpl36","2"
"Lpcat1","2"
"Tppp","2"
"Sdha","2"
"Arsk","2"
"Polr3g","2"
"Msh3","2"
"Naip5","2"
"Naip1","2"
"Elovl7","2"
"Emb","2"
"Oit1","2"
"Dnajc9","2"
"Ppif","2"
"Bap1","2"
"Glud1","2"
"Tspan14","2"
"Exoc5","2"
"Apex1","2"
"Pnp","2"
"1700123O20Rik","2"
"Zmym5","2"
"Cryl1","2"
"Ska3","2"
"Kpna3","2"
"Ephx2","2"
"Bin3","2"
"Hr","2"
"Lpar6","2"
"Akap11","2"
"Elf1","2"
"Dach1","2"
"Mir17hg","2"
"Sub1","2"
"Rpl30","2"
"Zfp706","2"
"Nudcd1","2"
"Med30","2"
"Mal2","2"
"Wdyhv1","2"
"Eef1d","2"
"Recql4","2"
"Lrrc14","2"
"Sgsm3","2"
"St13","2"
"Tef","2"
"Tob2","2"
"Desi1","2"
"Cyb5r3","2"
"Mcat","2"
"Samm50","2"
"Creld2","2"
"Slc38a2","2"
"Slc38a4","2"
"Larp4","2"
"Dazap2","2"
"Zfp740","2"
"Espl1","2"
"Itga5","2"
"Cluap1","2"
"Trap1","2"
"Pmm2","2"
"1810013L24Rik","2"
"Nubp1","2"
"Cpped1","2"
"Parn","2"
"Ntan1","2"
"Aifm3","2"
"Smpd4","2"
"Ranbp1","2"
"Eif2b5","2"
"Abcf3","2"
"Vps8","2"
"Lsg1","2"
"Dlg1","2"
"Fbxo45","2"
"Lsamp","2"
"Spice1","2"
"Col8a1","2"
"Chmp2b","2"
"Donson","2"
"Brwd1","2"
"Mpc1","2"
"Sft2d1","2"
"Igf2r","2"
"Tbp","2"
"Vmn2r90","2"
"Zfp54","2"
"Eci1","2"
"Telo2","2"
"Ube2i","2"
"Ggnbp1","2"
"Spdef","2"
"Snrpc","2"
"Rsph1","2"
"Wiz","2"
"Zfp871","2"
"Zfp870","2"
"Tap2","2"
"Slc44a4","2"
"Vars","2"
"Atp6v1g2","2"
"Cchcr1","2"
"Tubb5","2"
"Ppp1r10","2"
"Ppp1r11","2"
"Gabbr1","2"
"Tnfrsf21","2"
"Tmem63b","2"
"Usp49","2"
"Plcl2","2"
"Clpp","2"
"Ralbp1","2"
"Rab12","2"
"Zbtb14","2"
"Smchd1","2"
"Spast","2"
"Slc30a6","2"
"Strn","2"
"Map4k3","2"
"Ccny","2"
"Rbbp8","2"
"Ankrd29","2"
"Tpgs2","2"
"Cxxc5","2"
"Pfdn1","2"
"Sra1","2"
"Slc35a4","2"
"Gnpda1","2"
"Arhgap26","2"
"Dcp2","2"
"Trim36","2"
"Cep120","2"
"Rps14","2"
"Impa2","2"
"Ptpn2","2"
"Cxxc1","2"
"Acaa2","2"
"Lipg","2"
"Zadh2","2"
"Ptprcap","2"
"Rps6kb2","2"
"Banf1","2"
"Cfl1","2"
"Frmd8","2"
"Vegfb","2"
"Nudt22","2"
"Ints5","2"
"Incenp","2"
"Gna14","2"
"1110059E24Rik","2"
"Pgm5","2"
"Asah2","2"
"Minpp1","2"
"Lipo1","2"
"Ffar4","2"
"Cyp2c70","2"
"Pprc1","2"
"Nolc1","2"
"Trim8","2"
"Hspa12a","2"
"Tspan7","2"
"Atp6ap2","2"
"Usp9x","2"
"Cdk16","2"
"Elk1","2"
"Rpl39","2"
"Utp14a","2"
"Zfp275","2"
"Vbp1","2"
"Gjb1","2"
"Cxcr3","2"
"Bex4","2"
"Tceal8","2"
"Cldn2","2"
"Zrsr2","2"
"mt-Cytb","2"
"Col9a1","3"
"Ndufb3","3"
"Rpl37a","3"
"Rnf152","3"
"Slc35f5","3"
"Klhdc8a","3"
"Pkp1","3"
"Tor1aip2","3"
"Mrps14","3"
"Mpzl1","3"
"Kcnj10","3"
"Mptx1","3"
"Hnrnpu","3"
"Parp1","3"
"Disp1","3"
"Ralgps1","3"
"Ppp6c","3"
"Rbm43","3"
"Ly75","3"
"Ttc30a1","3"
"Tcp11l1","3"
"Pank2","3"
"Crls1","3"
"Hnf4a","3"
"B4galt5","3"
"Ankrd50","3"
"Rab33b","3"
"Foxo1","3"
"Lxn","3"
"Shc1","3"
"4933434E20Rik","3"
"Mrpl9","3"
"Rprd2","3"
"Phgdh","3"
"Syt6","3"
"Csf1","3"
"Gbp3","3"
"Ufl1","3"
"Gne","3"
"Rps6","3"
"Tm2d1","3"
"Btf3l4","3"
"Ttc39a","3"
"Prdx1","3"
"Toe1","3"
"Hpdl","3"
"Akirin1","3"
"9930104L06Rik","3"
"Zmym1","3"
"Alpl","3"
"Pus7","3"
"Ncapg","3"
"Limch1","3"
"Fgfrl1","3"
"Unc119b","3"
"Pptc7","3"
"Mlxip","3"
"Mlxipl","3"
"Cops6","3"
"Taf6","3"
"Sdk1","3"
"Smurf1","3"
"Wdr91","3"
"Zfp777","3"
"Hmces","3"
"Pdzrn3","3"
"Cntn3","3"
"Sec13","3"
"Kdm5a","3"
"Ptms","3"
"Tapbpl","3"
"Klra17","3"
"Wbp11","3"
"Golt1b","3"
"C2cd5","3"
"Myadm","3"
"Akt2","3"
"Ccne1","3"
"Irf3","3"
"Tead2","3"
"Kcnj14","3"
"Snrpa1","3"
"Wdr73","3"
"Pde3b","3"
"Il4ra","3"
"Ypel3","3"
"Hirip3","3"
"Kif22","3"
"Dock1","3"
"Phrf1","3"
"Unc5d","3"
"Tll1","3"
"Isyna1","3"
"Dnajb1","3"
"Atp2c2","3"
"Chordc1","3"
"Zw10","3"
"Cspg4","3"
"Edc3","3"
"Cdc25a","3"
"Slc35d3","3"
"Dse","3"
"Sec63","3"
"Hsf2","3"
"Lrrtm3","3"
"Ddt","3"
"Mif","3"
"Rrp1","3"
"Cdk17","3"
"Ppm1h","3"
"Shmt2","3"
"Mmp19","3"
"Tmem17","3"
"Pnpt1","3"
"Mat2b","3"
"Llgl1","3"
"Top3a","3"
"Pelp1","3"
"Tmem97","3"
"Taf15","3"
"Xylt2","3"
"Cdk5rap3","3"
"Eftud2","3"
"Pitpnc1","3"
"Acp1","3"
"Gemin2","3"
"Trmt5","3"
"Dlst","3"
"Nek9","3"
"Nrde2","3"
"Wars","3"
"Akt1","3"
"Tmem14c","3"
"Fam149b","3"
"Arhgef3","3"
"Btd","3"
"Sdr39u1","3"
"Mipep","3"
"Dnajc3","3"
"Ubr5","3"
"Rims2","3"
"Exosc4","3"
"Rpl8","3"
"Arsa","3"
"Scaf11","3"
"Acvrl1","3"
"Igfbp6","3"
"Mcm4","3"
"Ydjc","3"
"Tmem41a","3"
"Pdia5","3"
"Gtf2h5","3"
"Hcfc1r1","3"
"Dusp1","3"
"Pknox1","3"
"Brd4","3"
"Akap8","3"
"Kifc1","3"
"Vps52","3"
"H2-K1","3"
"Ddx39b","3"
"Trim26","3"
"Unc5cl","3"
"Epc1","3"
"Impact","3"
"Lmnb1","3"
"Ndufs8","3"
"Sart1","3"
"Stip1","3"
"Ide","3"
"Pgam1","3"
"Hif1an","3"
"Tbc1d25","3"
"Ftsj1","3"
"Cetn2","3"
"Pdzd4","3"
"Maged1","3"
"Tcea1","4"
"2610203C22Rik","4"
"Col5a2","4"
"Gls","4"
"Inpp1","4"
"Atg16l1","4"
"Mlph","4"
"Tpr","4"
"Gpa33","4"
"Alyref2","4"
"Fh1","4"
"Zbtb18","4"
"Capn2","4"
"Fpgs","4"
"Psmd5","4"
"Pdcl","4"
"Itgav","4"
"Madd","4"
"Id1","4"
"Serinc3","4"
"Zfp64","4"
"Gyg","4"
"Pik3ca","4"
"Igsf10","4"
"Ilf2","4"
"S100a4","4"
"Otud7b","4"
"Gstm2","4"
"Vcam1","4"
"Papss1","4"
"Gbp2","4"
"Decr1","4"
"Casp8ap2","4"
"Ube2j1","4"
"B4galt1","4"
"Klhl9","4"
"Meaf6","4"
"Pum1","4"
"Pigv","4"
"Rnf186","4"
"Armc10","4"
"Mrpl33","4"
"Rpl9","4"
"Gfi1","4"
"Sart3","4"
"Pop5","4"
"BC051077","4"
"Eif2b1","4"
"Ppp1r35","4"
"Zfp68","4"
"Snx8","4"
"Tspan12","4"
"Smo","4"
"Creb3l2","4"
"Ubn2","4"
"1700074P13Rik","4"
"Zfp956","4"
"Malsu1","4"
"Mfap5","4"
"Tnfrsf1a","4"
"Kcnj8","4"
"Vmn2r52","4"
"Rabac1","4"
"Shkbp1","4"
"Tbc1d17","4"
"Ppp1r15a","4"
"Nav2","4"
"2310010J17Rik","4"
"Arhgef17","4"
"Spon1","4"
"Ptpre","4"
"Golga7","4"
"Ash2l","4"
"Ing2","4"
"Aga","4"
"Sh3rf1","4"
"Cope","4"
"Adcy7","4"
"Slc7a6os","4"
"Pdpr","4"
"Mlycd","4"
"Arhgap42","4"
"Cep57","4"
"Angptl6","4"
"Icam1","4"
"Carm1","4"
"St14","4"
"Vwa5a","4"
"Chrnb4","4"
"Ube2q2","4"
"Gsta4","4"
"Mthfs","4"
"Amotl2","4"
"Acpp","4"
"Snx3","4"
"Bicc1","4"
"Nfyb","4"
"Atxn7l3b","4"
"Rnf185","4"
"Ccm2","4"
"Rars","4"
"Maml1","4"
"Sap30l","4"
"Slc25a35","4"
"Vamp2","4"
"Psmd11","4"
"Eme1","4"
"Mrpl27","4"
"Hoxb13","4"
"Etv4","4"
"Ftsj3","4"
"Ttyh2","4"
"Rab37","4"
"Cbx4","4"
"Odc1","4"
"Slc38a6","4"
"Pigh","4"
"Meg3","4"
"Epdr1","4"
"Acot13","4"
"Prpf4b","4"
"Nup153","4"
"Naa35","4"
"Pdcd6","4"
"Ccdc127","4"
"Hapln1","4"
"Sv2c","4"
"Fcho2","4"
"Naip6","4"
"Adamdec1","4"
"Rcbtb2","4"
"Tpt1","4"
"Lifr","4"
"Prlr","4"
"C1qtnf3","4"
"Sh3bp1","4"
"Aco2","4"
"Krt7","4"
"Litaf","4"
"Iglc2","4"
"Alg3","4"
"2510009E07Rik","4"
"Ppp1r2","4"
"Cd47","4"
"Zfp942","4"
"Mapk8ip3","4"
"Nme4","4"
"Axin1","4"
"Psmb8","4"
"Polr1c","4"
"Nfya","4"
"Oard1","4"
"Lama1","4"
"Seh1l","4"
"Txnl4a","4"
"Kdm2a","4"
"Naa40","4"
"Sdhaf2","4"
"Tmem109","4"
"Rpl9-ps6","4"
"Exoc6","4"
"Tm9sf3","4"
"Pcgf6","4"
"Sorcs1","4"
"Emd","4"
"Rpl36a","4"
"Orc2","5"
"Mdm4","5"
"Soat1","5"
"Yme1l1","5"
"Tgm6","5"
"Rprd1b","5"
"Exosc9","5"
"Commd2","5"
"Aadac","5"
"Ppm1l","5"
"Plrg1","5"
"Mnd1","5"
"Rap1a","5"
"Cryz","5"
"Ndufaf6","5"
"Otud6b","5"
"Skint1","5"
"Trit1","5"
"Sdc3","5"
"Crocc","5"
"Sh3tc1","5"
"C1qtnf7","5"
"Pom121","5"
"Polr2j","5"
"Pdia4","5"
"Gxylt2","5"
"Csgalnact2","5"
"Tmc4","5"
"Lig1","5"
"Zfp788","5"
"Gde1","5"
"Ubfd1","5"
"Kat8","5"
"Sec23ip","5"
"Tollip","5"
"Pts","5"
"2310030G06Rik","5"
"Zfp609","5"
"Ibtk","5"
"Morf4l1","5"
"Uba5","5"
"Crtap","5"
"Plekhg1","5"
"Gstt1","5"
"Tcf3","5"
"Nup37","5"
"Med7","5"
"Akap10","5"
"Cdrt4","5"
"Tnk1","5"
"Acap1","5"
"Itgae","5"
"Rph3al","5"
"Thra","5"
"Ccdc43","5"
"Gpld1","5"
"Mylk4","5"
"Diras2","5"
"Thoc3","5"
"Fbp2","5"
"Chmp7","5"
"C030047K22Rik","5"
"Bop1","5"
"Tubgcp6","5"
"Ccnt1","5"
"Rnf168","5"
"Arl6","5"
"Usp25","5"
"Pde10a","5"
"Brpf3","5"
"Zfp763","5"
"Gpank1","5"
"H2-T22","5"
"Ccnd3","5"
"Zfp516","5"
"Aldh3b1","5"
"Cd99l2","5"
"Xlr3a","5"
"Mecp2","5"
"2610002M06Rik","5"
"Sulf1","6"
"Slc39a10","6"
"Asnsd1","6"
"Ttll4","6"
"Ing5","6"
"Kif14","6"
"Cenpl","6"
"Dpt","6"
"Xcl1","6"
"Fcer1g","6"
"Ly9","6"
"Dusp23","6"
"Akt3","6"
"Kctd3","6"
"Dnajc1","6"
"Rxra","6"
"Dolpp1","6"
"Pde1a","6"
"Adal","6"
"Cdc25b","6"
"Hnf4g","6"
"Mtfr1","6"
"Mfsd1","6"
"Fnip2","6"
"Arhgef2","6"
"Efna4","6"
"Ubap2l","6"
"Rps27","6"
"Plekho1","6"
"Wdr77","6"
"Frrs1","6"
"Rwdd3","6"
"Dnajb14","6"
"Pkn2","6"
"Samd13","6"
"Tesk1","6"
"Pax5","6"
"Polr1e","6"
"Ttc4","6"
"Macf1","6"
"Map7d1","6"
"Trappc3","6"
"Clspn","6"
"Efhd2","6"
"Pdpn","6"
"Wrap73","6"
"Sdf4","6"
"Orc5","6"
"Slc4a1ap","6"
"Anapc4","6"
"Tlr1","6"
"Tpst2","6"
"Sgsm1","6"
"Cit","6"
"Rph3a","6"
"Atp6v0a2","6"
"Mepce","6"
"Slc46a3","6"
"Tmem106b","6"
"Calu","6"
"Tmem176a","6"
"Ppm1k","6"
"0610030E20Rik","6"
"Atp6v1e1","6"
"Cops7a","6"
"Nop2","6"
"Ncapd2","6"
"Tmem52b","6"
"Zfp444","6"
"Erf","6"
"Ltbp4","6"
"Psmd8","6"
"Arhgap33","6"
"Cep89","6"
"Rpl13a","6"
"Chsy1","6"
"Sytl2","6"
"Dmbt1","6"
"Tubgcp3","6"
"Cbr4","6"
"Mau2","6"
"Ccdc124","6"
"Cnep1r1","6"
"Cpne2","6"
"Enkd1","6"
"Aars","6"
"Nudt7","6"
"Gcsh","6"
"Taf1c","6"
"Fbxo31","6"
"2810004N23Rik","6"
"Cwc15","6"
"Dscaml1","6"
"Wdr61","6"
"Uaca","6"
"Itga11","6"
"Cln6","6"
"Me1","6"
"Plscr1","6"
"Pex3","6"
"Ncoa7","6"
"Col13a1","6"
"Ggt5","6"
"Esyt1","6"
"Pdlim4","6"
"Tmem11","6"
