"cell_ID" "FOV" "cell_types"
"cell_427" 4 "astrocytes"
"cell_428" 4 "OPC"
"cell_429" 4 "Olig"
"cell_430" 4 "endothelial"
"cell_431" 4 "Olig"
"cell_432" 4 "OPC"
"cell_433" 4 "endothelial"
"cell_434" 4 "Olig"
"cell_435" 4 "L5 eNeuron"
"cell_436" 4 "L6 eNeuron"
"cell_437" 4 "L6 eNeuron"
"cell_438" 4 "endothelial"
"cell_439" 4 "L6 eNeuron"
"cell_440" 4 "L6 eNeuron"
"cell_441" 4 "L6 eNeuron"
"cell_442" 4 "L6 eNeuron"
"cell_443" 4 "endothelial"
"cell_444" 4 "L6 eNeuron"
"cell_445" 4 "L6 eNeuron"
"cell_446" 4 "L6 eNeuron"
"cell_447" 4 "L5 eNeuron"
"cell_448" 4 "OPC"
"cell_449" 4 "Olig"
"cell_450" 4 "L6 eNeuron"
"cell_451" 4 "microglia"
"cell_452" 4 "L6 eNeuron"
"cell_453" 4 "Olig"
"cell_454" 4 "L6 eNeuron"
"cell_455" 4 "L6 eNeuron"
"cell_456" 4 "endothelial"
"cell_457" 4 "L6 eNeuron"
"cell_458" 4 "L6 eNeuron"
"cell_459" 4 "astrocytes"
"cell_460" 4 "astrocytes"
"cell_461" 4 "mural"
"cell_462" 4 "endothelial"
"cell_463" 4 "L6 eNeuron"
"cell_464" 4 "L6 eNeuron"
"cell_465" 4 "L6 eNeuron"
"cell_466" 4 "L6 eNeuron"
"cell_467" 4 "L5 eNeuron"
"cell_468" 4 "L6 eNeuron"
"cell_469" 4 "OPC"
"cell_470" 4 "L6 eNeuron"
"cell_471" 4 "L6 eNeuron"
"cell_472" 4 "L6 eNeuron"
"cell_473" 4 "microglia"
"cell_474" 4 "L6 eNeuron"
"cell_475" 4 "L6 eNeuron"
"cell_476" 4 "L6 eNeuron"
"cell_477" 4 "L6 eNeuron"
"cell_478" 4 "L6 eNeuron"
"cell_479" 4 "L5 eNeuron"
"cell_480" 4 "L5 eNeuron"
"cell_481" 4 "Adarb2 iNeuron"
"cell_482" 4 "microglia"
"cell_483" 4 "L6 eNeuron"
