"cell_ID"	"x_coord"	"y_coord"
"s527"	"20396"	"8334"
"s528"	"20696"	"8334"
"s529"	"20996"	"8334"
"s530"	"21296"	"8334"
"s531"	"21596"	"8334"
"s532"	"21896"	"8334"
"s533"	"20096"	"8634"
"s534"	"20396"	"8634"
"s535"	"20696"	"8634"
"s536"	"20996"	"8634"
"s537"	"21296"	"8634"
"s538"	"21596"	"8634"
"s539"	"21896"	"8634"
"s540"	"20096"	"8934"
"s541"	"20396"	"8934"
"s542"	"20696"	"8934"
"s543"	"20996"	"8934"
"s544"	"21296"	"8934"
"s545"	"21596"	"8934"
"s546"	"21896"	"8934"
"s547"	"20096"	"9234"
"s548"	"20396"	"9234"
"s549"	"20696"	"9234"
"s550"	"20996"	"9234"
"s551"	"21296"	"9234"
"s552"	"21596"	"9234"
"s553"	"21896"	"9234"
"s554"	"20096"	"9534"
"s555"	"20396"	"9534"
"s556"	"20696"	"9534"
"s557"	"20996"	"9534"
"s558"	"21296"	"9534"
"s559"	"21596"	"9534"
"s560"	"21896"	"9534"
"s561"	"20096"	"9834"
"s562"	"20396"	"9834"
"s563"	"20696"	"9834"
"s564"	"20996"	"9834"
"s565"	"21296"	"9834"
"s566"	"21596"	"9834"
"s567"	"21896"	"9834"
"s568"	"20096"	"8064"
"s569"	"20396"	"8064"
"s570"	"20696"	"8064"
"s571"	"20996"	"8064"
"s572"	"21296"	"8064"
"s573"	"21596"	"8064"
"s574"	"21896"	"8064"
"s575"	"20096"	"8364"
"s576"	"20396"	"8364"
"s577"	"20696"	"8364"
"s578"	"20996"	"8364"
"s579"	"21296"	"8364"
"s580"	"21596"	"8364"
"s581"	"21896"	"8364"
"s582"	"20096"	"8664"
"s583"	"20396"	"8664"
"s584"	"20696"	"8664"
"s585"	"20996"	"8664"
"s586"	"21296"	"8664"
"s587"	"21596"	"8664"
"s588"	"21896"	"8664"
"s589"	"20096"	"8964"
"s590"	"20396"	"8964"
"s591"	"20696"	"8964"
"s592"	"20996"	"8964"
"s593"	"21296"	"8964"
"s594"	"21596"	"8964"
"s595"	"21896"	"8964"
"s596"	"20096"	"9264"
"s597"	"20396"	"9264"
"s598"	"20696"	"9264"
"s599"	"20996"	"9264"
"s600"	"21296"	"9264"
"s601"	"21596"	"9264"
"s602"	"21896"	"9264"
"s603"	"20096"	"9564"
"s604"	"20396"	"9564"
"s605"	"20696"	"9564"
"s606"	"20996"	"9564"
"s607"	"21296"	"9564"
"s608"	"21596"	"9564"
"s609"	"21896"	"9564"
"s610"	"20096"	"9864"
"s611"	"20396"	"9864"
"s612"	"20696"	"9864"
"s613"	"20996"	"9864"
"s614"	"21296"	"9864"
"s615"	"21596"	"9864"
"s616"	"21896"	"9864"
"s617"	"20096"	"8094"
"s618"	"20396"	"8094"
"s619"	"20696"	"8094"
"s620"	"20996"	"8094"
"s621"	"21296"	"8094"
"s622"	"21596"	"8094"
"s623"	"21896"	"8094"
"s624"	"20096"	"8394"
"s625"	"20396"	"8394"
"s626"	"20696"	"8394"
"s627"	"20996"	"8394"
"s628"	"21296"	"8394"
"s629"	"21596"	"8394"
"s630"	"21896"	"8394"
"s631"	"20096"	"8694"
"s632"	"20396"	"8694"
"s633"	"20696"	"8694"
"s634"	"20996"	"8694"
"s635"	"21296"	"8694"
"s636"	"21596"	"8694"
"s637"	"21896"	"8694"
"s638"	"20096"	"8994"
"s639"	"20396"	"8994"
"s640"	"20696"	"8994"
"s641"	"20996"	"8994"
"s642"	"21296"	"8994"
"s643"	"21596"	"8994"
"s644"	"21896"	"8994"
"s645"	"20096"	"9294"
"s646"	"20396"	"9294"
"s647"	"20696"	"9294"
"s648"	"20996"	"9294"
"s649"	"21296"	"9294"
"s650"	"21596"	"9294"
"s651"	"21896"	"9294"
"s652"	"20096"	"9594"
"s653"	"20396"	"9594"
"s654"	"20696"	"9594"
"s655"	"20996"	"9594"
"s656"	"21296"	"9594"
"s657"	"21596"	"9594"
"s658"	"21896"	"9594"
"s659"	"20096"	"9894"
"s660"	"20396"	"9894"
"s661"	"20696"	"9894"
"s662"	"20996"	"9894"
"s663"	"21296"	"9894"
"s664"	"21596"	"9894"
"s665"	"21896"	"9894"
"s666"	"20096"	"8124"
"s667"	"20396"	"8124"
"s668"	"20696"	"8124"
"s669"	"20996"	"8124"
"s670"	"21296"	"8124"
"s671"	"21596"	"8124"
"s672"	"21896"	"8124"
"s673"	"20096"	"8424"
"s674"	"20396"	"8424"
"s675"	"20696"	"8424"
"s676"	"20996"	"8424"
"s677"	"21296"	"8424"
"s678"	"21596"	"8424"
"s679"	"21896"	"8424"
"s680"	"20096"	"8724"
"s681"	"20396"	"8724"
"s682"	"20696"	"8724"
"s683"	"20996"	"8724"
"s684"	"21296"	"8724"
"s685"	"21596"	"8724"
"s686"	"21896"	"8724"
"s687"	"20096"	"9024"
"s688"	"20396"	"9024"
"s689"	"20696"	"9024"
"s690"	"20996"	"9024"
"s691"	"21296"	"9024"
"s692"	"21596"	"9024"
"s693"	"21896"	"9024"
"s694"	"20096"	"9324"
"s695"	"20396"	"9324"
"s696"	"20696"	"9324"
"s697"	"20996"	"9324"
"s698"	"21296"	"9324"
"s699"	"21596"	"9324"
"s700"	"21896"	"9324"
"s701"	"20096"	"9624"
"s702"	"20396"	"9624"
"s703"	"20696"	"9624"
"s704"	"20996"	"9624"
"s705"	"21296"	"9624"
"s706"	"21596"	"9624"
"s707"	"21896"	"9624"
"s708"	"20096"	"9924"
"s709"	"20396"	"9924"
"s710"	"20696"	"9924"
"s711"	"20996"	"9924"
"s712"	"21296"	"9924"
"s713"	"21596"	"9924"
"s714"	"21896"	"9924"
"s715"	"20096"	"8154"
"s716"	"20396"	"8154"
"s717"	"20696"	"8154"
"s718"	"20996"	"8154"
"s719"	"21296"	"8154"
"s720"	"21596"	"8154"
"s721"	"21896"	"8154"
"s722"	"20096"	"8454"
"s723"	"20396"	"8454"
"s724"	"20696"	"8454"
"s725"	"20996"	"8454"
"s726"	"21296"	"8454"
"s727"	"21596"	"8454"
"s728"	"21896"	"8454"
"s729"	"20096"	"8754"
"s730"	"20396"	"8754"
"s731"	"20696"	"8754"
"s732"	"20996"	"8754"
"s733"	"21296"	"8754"
"s734"	"21596"	"8754"
"s735"	"21896"	"8754"
"s736"	"20096"	"9054"
"s737"	"20396"	"9054"
"s738"	"20696"	"9054"
"s739"	"20996"	"9054"
"s740"	"21296"	"9054"
"s741"	"21596"	"9054"
"s742"	"21896"	"9054"
"s743"	"20096"	"9354"
"s744"	"20396"	"9354"
"s745"	"20696"	"9354"
"s746"	"20996"	"9354"
"s747"	"21296"	"9354"
"s748"	"21596"	"9354"
"s749"	"21896"	"9354"
"s750"	"20096"	"9654"
"s751"	"20396"	"9654"
"s752"	"20696"	"9654"
"s753"	"20996"	"9654"
"s754"	"21296"	"9654"
"s755"	"21596"	"9654"
"s756"	"21896"	"9654"
"s757"	"20096"	"9954"
"s758"	"20396"	"9954"
"s759"	"20696"	"9954"
"s760"	"20996"	"9954"
"s761"	"21296"	"9954"
"s762"	"21596"	"9954"
"s763"	"21896"	"9954"
"s764"	"20096"	"8184"
"s765"	"20396"	"8184"
"s766"	"20696"	"8184"
"s767"	"20996"	"8184"
"s768"	"21296"	"8184"
"s769"	"21596"	"8184"
"s770"	"21896"	"8184"
"s771"	"20096"	"8484"
"s772"	"20396"	"8484"
"s773"	"20696"	"8484"
"s774"	"20996"	"8484"
"s775"	"21296"	"8484"
"s776"	"21596"	"8484"
"s777"	"21896"	"8484"
"s778"	"20096"	"8784"
"s779"	"20396"	"8784"
"s780"	"20696"	"8784"
"s781"	"20996"	"8784"
"s782"	"21296"	"8784"
"s783"	"21596"	"8784"
"s784"	"21896"	"8784"
"s785"	"20096"	"9084"
"s786"	"20396"	"9084"
"s787"	"20696"	"9084"
"s788"	"20996"	"9084"
"s789"	"21296"	"9084"
"s790"	"21596"	"9084"
"s791"	"21896"	"9084"
"s792"	"20096"	"9384"
"s793"	"20396"	"9384"
"s794"	"20696"	"9384"
"s795"	"20996"	"9384"
"s796"	"21296"	"9384"
"s797"	"21596"	"9384"
"s798"	"21896"	"9384"
"s799"	"20096"	"9684"
"s800"	"20396"	"9684"
"s801"	"20696"	"9684"
"s802"	"20996"	"9684"
"s803"	"21296"	"9684"
"s804"	"21596"	"9684"
"s805"	"21896"	"9684"
"s806"	"20096"	"9984"
"s807"	"20396"	"9984"
"s808"	"20696"	"9984"
"s809"	"20996"	"9984"
"s810"	"21296"	"9984"
"s811"	"21596"	"9984"
"s812"	"21896"	"9984"
"s813"	"20096"	"8214"
"s814"	"20396"	"8214"
"s815"	"20696"	"8214"
"s816"	"20996"	"8214"
"s817"	"21296"	"8214"
"s818"	"21596"	"8214"
"s819"	"21896"	"8214"
"s820"	"20096"	"8514"
"s821"	"20396"	"8514"
"s822"	"20696"	"8514"
"s823"	"20996"	"8514"
"s824"	"21296"	"8514"
"s825"	"21596"	"8514"
"s826"	"21896"	"8514"
"s827"	"20096"	"8814"
"s828"	"20396"	"8814"
"s829"	"20696"	"8814"
"s830"	"20996"	"8814"
"s831"	"21296"	"8814"
"s832"	"21596"	"8814"
"s833"	"21896"	"8814"
"s834"	"20096"	"9114"
"s835"	"20396"	"9114"
"s836"	"20696"	"9114"
"s837"	"20996"	"9114"
"s838"	"21296"	"9114"
"s839"	"21596"	"9114"
"s840"	"21896"	"9114"
"s841"	"20096"	"9414"
"s842"	"20396"	"9414"
"s843"	"20696"	"9414"
"s844"	"20996"	"9414"
"s845"	"21296"	"9414"
