"Gene symbol","Cluster number"
"Ppp2r1a","7"
"Gfer","7"
"Phf1","7"
"Bak1","7"
"Fkbp5","7"
"Atf6b","7"
"Sh3gl1","7"
"Chst9","7"
"Tmco6","7"
"Lman1","7"
"Cep192","7"
"Mbd1","7"
"Socs6","7"
"Vps37c","7"
"Slc35a2","7"
"Il1rapl1","7"
"Msn","7"
"Tsc22d3","7"
"Tmem164","7"
"Frmpd4","7"
"Mid1","7"
"Ptp4a1","8"
"Kansl3","8"
"Mrps9","8"
"Slc39a10","8"
"Hspd1","8"
"Ap1s3","8"
"Armc9","8"
"Ackr3","8"
"C4bp","8"
"Prelp","8"
"Adipor1","8"
"Ppp1r12b","8"
"Ptprc","8"
"Fcgr3","8"
"Tomm40l","8"
"Ncstn","8"
"Tagln2","8"
"Mndal","8"
"Ifi205","8"
"Sde2","8"
"Wdr26","8"
